Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 50 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  6.0s | Train: skip eval | Valid: time=  0.3s loss=2.634, TAw acc= 19.4% | *
| Epoch   2, time=  4.0s | Train: skip eval | Valid: time=  0.3s loss=2.406, TAw acc= 26.1% | *
| Epoch   3, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=2.400, TAw acc= 28.6% | *
| Epoch   4, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=2.302, TAw acc= 31.3% | *
| Epoch   5, time=  4.3s | Train: skip eval | Valid: time=  0.3s loss=2.061, TAw acc= 37.3% | *
| Epoch   6, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=2.074, TAw acc= 36.2% |
| Epoch   7, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=2.052, TAw acc= 38.7% | *
| Epoch   8, time=  4.3s | Train: skip eval | Valid: time=  0.3s loss=1.924, TAw acc= 41.0% | *
| Epoch   9, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=2.063, TAw acc= 38.6% |
| Epoch  10, time=  4.3s | Train: skip eval | Valid: time=  0.3s loss=1.863, TAw acc= 43.3% | *
| Epoch  11, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.848, TAw acc= 45.1% | *
| Epoch  12, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.798, TAw acc= 46.9% | *
| Epoch  13, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.882, TAw acc= 45.0% |
| Epoch  14, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.806, TAw acc= 46.1% |
| Epoch  15, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.695, TAw acc= 47.8% | *
| Epoch  16, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.764, TAw acc= 47.0% |
| Epoch  17, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.742, TAw acc= 50.2% |
| Epoch  18, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.651, TAw acc= 50.4% | *
| Epoch  19, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.904, TAw acc= 48.3% |
| Epoch  20, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.591, TAw acc= 51.5% | *
| Epoch  21, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.683, TAw acc= 48.2% |
| Epoch  22, time=  4.3s | Train: skip eval | Valid: time=  0.3s loss=1.590, TAw acc= 52.2% | *
| Epoch  23, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.960, TAw acc= 44.6% |
| Epoch  24, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.850, TAw acc= 45.4% |
| Epoch  25, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.677, TAw acc= 51.9% |
| Epoch  26, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.630, TAw acc= 53.7% |
| Epoch  27, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.476, TAw acc= 55.9% | *
| Epoch  28, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.480, TAw acc= 53.4% |
| Epoch  29, time=  4.3s | Train: skip eval | Valid: time=  0.3s loss=1.523, TAw acc= 55.0% |
| Epoch  30, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.464, TAw acc= 56.2% | *
| Epoch  31, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.554, TAw acc= 56.2% |
| Epoch  32, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.393, TAw acc= 59.0% | *
| Epoch  33, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.551, TAw acc= 55.8% |
| Epoch  34, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.530, TAw acc= 54.3% |
| Epoch  35, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.525, TAw acc= 54.8% |
| Epoch  36, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.390, TAw acc= 57.4% | *
| Epoch  37, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.347, TAw acc= 58.6% | *
| Epoch  38, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.240, TAw acc= 60.5% | *
| Epoch  39, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.402, TAw acc= 56.9% |
| Epoch  40, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.352, TAw acc= 59.0% |
| Epoch  41, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.448, TAw acc= 57.8% |
| Epoch  42, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.274, TAw acc= 61.4% |
| Epoch  43, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.585, TAw acc= 56.7% | lr=3.3e-02
| Epoch  44, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.180, TAw acc= 65.3% | *
| Epoch  45, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.177, TAw acc= 64.5% | *
| Epoch  46, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.159, TAw acc= 64.6% | *
| Epoch  47, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.217, TAw acc= 63.7% |
| Epoch  48, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.243, TAw acc= 62.2% |
| Epoch  49, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.210, TAw acc= 63.0% |
| Epoch  50, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.138, TAw acc= 65.2% | *
| Epoch  51, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.206, TAw acc= 64.2% |
| Epoch  52, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.251, TAw acc= 62.3% |
| Epoch  53, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.164, TAw acc= 64.2% |
| Epoch  54, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.169, TAw acc= 64.7% |
| Epoch  55, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.189, TAw acc= 63.8% | lr=1.1e-02
| Epoch  56, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.125, TAw acc= 66.1% | *
| Epoch  57, time=  4.0s | Train: skip eval | Valid: time=  0.3s loss=1.105, TAw acc= 66.8% | *
| Epoch  58, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.111, TAw acc= 65.8% |
| Epoch  59, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.127, TAw acc= 65.1% |
| Epoch  60, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.131, TAw acc= 65.6% |
| Epoch  61, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.143, TAw acc= 64.6% |
| Epoch  62, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.110, TAw acc= 66.8% | lr=3.7e-03
| Epoch  63, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.104, TAw acc= 66.2% | *
| Epoch  64, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.102, TAw acc= 66.5% | *
| Epoch  65, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=1.126, TAw acc= 65.9% |
| Epoch  66, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.111, TAw acc= 66.2% |
| Epoch  67, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.122, TAw acc= 67.0% |
| Epoch  68, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.105, TAw acc= 66.2% |
| Epoch  69, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.122, TAw acc= 65.8% | lr=1.2e-03
| Epoch  70, time=  4.0s | Train: skip eval | Valid: time=  0.3s loss=1.127, TAw acc= 65.8% |
| Epoch  71, time=  4.0s | Train: skip eval | Valid: time=  0.3s loss=1.095, TAw acc= 66.2% | *
| Epoch  72, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.107, TAw acc= 66.0% |
| Epoch  73, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.109, TAw acc= 66.4% |
| Epoch  74, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.113, TAw acc= 67.0% |
| Epoch  75, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.110, TAw acc= 66.8% |
| Epoch  76, time=  4.3s | Train: skip eval | Valid: time=  0.3s loss=1.101, TAw acc= 65.8% | lr=4.1e-04
| Epoch  77, time=  4.2s | Train: skip eval | Valid: time=  0.3s loss=1.110, TAw acc= 66.1% |
| Epoch  78, time=  4.1s | Train: skip eval | Valid: time=  0.3s loss=1.111, TAw acc= 65.8% |
