Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ../data/cifar100/cifar-100-python.tar.gz
Extracting ../data/cifar100/cifar-100-python.tar.gz to ../data/cifar100
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=2.531, TAw acc= 21.6% | *
| Epoch   2, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=2.460, TAw acc= 23.5% | *
| Epoch   3, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=2.353, TAw acc= 28.3% | *
| Epoch   4, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=2.273, TAw acc= 32.2% | *
| Epoch   5, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=2.167, TAw acc= 34.1% | *
| Epoch   6, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=2.172, TAw acc= 32.8% |
| Epoch   7, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.971, TAw acc= 37.9% | *
| Epoch   8, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.949, TAw acc= 40.6% | *
| Epoch   9, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.847, TAw acc= 43.4% | *
| Epoch  10, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.921, TAw acc= 40.6% |
| Epoch  11, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=2.112, TAw acc= 40.7% |
| Epoch  12, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=2.012, TAw acc= 41.1% |
| Epoch  13, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.777, TAw acc= 46.2% | *
| Epoch  14, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=2.085, TAw acc= 42.3% |
| Epoch  15, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.763, TAw acc= 48.3% | *
| Epoch  16, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.764, TAw acc= 47.6% |
| Epoch  17, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.816, TAw acc= 44.7% |
| Epoch  18, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.671, TAw acc= 48.9% | *
| Epoch  19, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.822, TAw acc= 48.6% |
| Epoch  20, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.569, TAw acc= 53.5% | *
| Epoch  21, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.702, TAw acc= 51.0% |
| Epoch  22, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.587, TAw acc= 51.2% |
| Epoch  23, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.588, TAw acc= 53.0% |
| Epoch  24, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.578, TAw acc= 53.8% |
| Epoch  25, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.501, TAw acc= 54.8% | *
| Epoch  26, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.749, TAw acc= 49.3% |
